cod;codPostal;nomCalle
157;01003;POLVORIN VIEJO
158;01003;RICARDO PUGA
159;01003;SAEZ DE QUEJANA
160;01003;SALVADOR ALLENDE
161;01003;SAN JOSE,Plaza
162;01003;SANTA LUCIA
163;01003;SANTIAGO   (Impares del 13 al final)  (Pares del 2 al final)
164;01003;SEFARDI,Plaza
165;01003;SIMON BOLIVAR
166;01003;TXIRIBIA
167;01003;VICENTE ALEXANDRE
168;01003;ZALBURU,Plaza
169;01004;ANGULEMA
170;01004;CANCILLER AYALA
171;01004;DESAMPARADOS,Plaza
172;01004;DOCE DE OCTUBRE   (Impares del 1 al 3)  (Pares del 2 al 4)
173;01004;FLORIDA   (Impares del 55 al 55)  (Pares del 64 al 78)
174;01004;FUEROS,Plaza (Impares del 1 al final)  (Pares del 2 al final)
175;01004;FUEROS   (Impares del 7 al 15)  (Pares del 6 al 10)
176;01004;HERRAN, LOS   (Impares del 1 al 11)  (Pares del 2 al 36)
177;01004;JESUS GURIDI
178;01004;JESUS MARIA LEIZAOLA,Plaza
179;01004;JUAN XXIII
180;01004;KUTAISI
181;01004;NUESTRA SEÑORA DE LOS DESAMPARADOS,Plaza
182;01004;OLAGUIBEL   (Impares del 17 al 31)  (Pares del 14 al 38)
183;01004;PAZ, LA
184;01004;PIO XII
185;01004;POSTAS   (Impares del 11 al final)  (Pares del 36 al final)
186;01004;SANTA BARBARA,Plaza
187;01005;AMARICA,Plaza
188;01005;ARCA
189;01005;ARCA,Plaza
190;01005;BECERRO BENGOA
191;01005;EDUARDO DATO
192;01005;ESTACION,Plaza
193;01005;FLORIDA,Paseo (Impares del 1 al final)  (Pares del 2 al final)
194;01005;FLORIDA   (Impares del 1 al 53)  (Pares del 2 al 62)
195;01005;FUEROS   (Impares del 17 al final)  (Pares del 12 al final)
196;01005;GENERAL ALAVA,Pasaje
197;01005;GENERAL ALAVA
198;01005;GENERAL LOMA,Plaza
199;01005;INDEPENDENCIA
200;01005;ISAAC ALBENIZ
201;01005;JOSE ERBINA
202;01005;LOPEZ DE LARREA
203;01005;MANUEL IRADIER
204;01005;ORTIZ DE ZARATE
205;01005;PRADO   (Impares del 1 al final)  (Pares del 2 al final)
206;01005;PRADO, DELA
207;01005;RIOJA
208;01005;SALVADOR GARCIA DEL DIESTRO
209;01005;SAN ANTONIO
210;01005;SAN PRUDENCIO   (Impares del 1 al final)  (Pares del 2 al final)
211;01006;ADURTZA
212;01006;AGUIRRE MIRAMON
213;01006;AITZGORRI
214;01006;ALAMOS
215;01006;ALAVA
216;01006;ALBERTIA
217;01006;ALBERTO SCHOMMER
218;01006;ALBOKA
219;01006;ANBOTO,Villa
220;01006;ANSOLETA,Poligono industrial
221;01006;APRAIZ, LOS
222;01006;ARAMBURU, LOS
223;01006;ARATZ
224;01006;ARKATXA
225;01006;BATXICABO
226;01006;BUESA, LOS
227;01006;CAMPOS DE LOS PALACIOS
228;01006;CASERIO, EL
229;01006;CASTRO URDIALES
230;01006;CENDAGUREN
231;01006;COMANDANTE IZARDUY
232;01006;CORAZONISTAS   (Impares del 1 al final)
233;01006;DANTXARI
234;01006;DOMINGO MARTINEZ DE ARAGON
235;01006;DUENDE, DEL,Paseo
236;01006;DULZAINA
237;01006;ERREKALEOR,Plaza
238;01006;ERREKALEOR
239;01006;FERROCARRIL
240;01006;FLANDES
241;01006;FRANCISCO TOMAS Y VALIENTE
242;01006;GUIPUZCOA
243;01006;HERACLIO FOURNIER
244;01006;HERACLIO FOURNIER,Plaza
245;01006;HERMINIO MEDINABEITIA
246;01006;IPARAGUIRRE
247;01006;ITURRITXU
248;01006;JARDINES MAURICE RAVEL
249;01006;JARDINES MAURICE RAVEL,Plaza
250;01006;JOSE ANTONIO ANDONEGUI
251;01006;JOSE MARIA IPARAGUIRRE
252;01006;JOSE URUÑUELA
253;01006;JUAN BAUTISTA GAMIZ
254;01006;JUAN IBAÑEZ DE SANTO DOMINGO
255;01006;JULIO CARO BAROJA
256;01006;JUSTO VELEZ DE ELORRIAGA
257;01006;MARIA DE MAEZTU
258;01006;MAURICIO VALDIVIELSO,Plazuela
259;01006;MENDIOLA,Camino
260;01006;MIGUEL DE UNAMUNO,Avenida
261;01006;MIGUEL MIEG
262;01006;MOLINOS
263;01006;NAIPES,Plazuela
264;01006;NAVARRA   (Impares del 1 al final)
265;01006;NEVERAS, LAS
266;01006;NIEVES CANO   (Impares del 1 al 55)  (Pares del 2 al 18)
267;01006;OLARIZU,Avenida
268;01006;OLARIZU,Dehesa
269;01006;PABLO XERICA
270;01006;PALOGAN
271;01006;PARQUE MARIA DE MAEZTU
272;01006;PUENTE ALTO
273;01006;RAIMUNDO OLAVIDE
274;01006;RENE CASSIN
275;01006;SAN CRISTOBAL,Plaza
276;01006;TRIANAS, LAS
277;01006;TRIKITRIXA
278;01006;TXALAPARTA
279;01006;TXIRULA
280;01006;TXISTULARIS
281;01006;UNIVERSIDAD, DE LA,Paseo
282;01006;URITIASOLO
283;01006;URITIASOLO,Pasaje
284;01006;VENTA DE LA ESTRELLA
285;01006;VIZCAYA
286;01006;ZAPARDIEL
287;01006;ZUMABIDE
288;01006;ZUMAQUERA
289;01006;ZUMAQUERA,Paseo
290;01006;ZUMAQUERA,Plaza
291;01007;ALTO DE ARMENTIA
292;01007;AMADEO GARCIA SALAZAR,Plaza
293;01007;ANTONIA MARIA DE OVIEDO
294;01007;ANTONIA, LA
295;01007;ANTONIO MIRANDA
296;01007;ARECHAGA
297;01007;AREITIO,Particular
298;01007;ARIZNABARRA
299;01007;ARIZNABARRETA
300;01007;ARZARANA
301;01007;ATXO APELLANIZ
302;01007;BATAN,Paseo
303;01007;BIAK-BAT
304;01007;CALZADAS, LAS
305;01007;CASTILLA DE,Portal
306;01007;CASTILLO ARLUCEA
307;01007;CASTILLO ASSA
308;01007;CASTILLO ASTULEZ
309;01007;CASTILLO BERNEDO
310;01007;CASTILLO BURADON
311;01007;CASTILLO DE ARETXAGA
312;01007;CASTILLO DE ESKIBEL
313;01007;CASTILLO DE GEBARA
314;01007;CASTILLO DE TORO
315;01007;CASTILLO DE VILLAMONTE
316;01007;CASTILLO FONTECHA
317;01007;CASTILLO LANTARON
318;01007;CASTILLO MENDILUCIA
319;01007;CASTILLO OCIO
320;01007;CASTILLO PORTILLA
321;01007;CASTILLO QUEJANA
322;01007;CASTILLO SAN ADRIAN
323;01007;CASTILLO ZAITEGUI
324;01007;CERVANTES,Paseo
325;01007;CONCHA ESPINA
326;01007;CORAZONISTAS   (Pares del 2 al final)
327;01007;ELVIRA ZULUETA
328;01007;EMILIA PARDO BAZAN
329;01007;ESCULTOR DIAZ ESPADA
330;01007;ESCULTOR FERNANDEZ VIANA
331;01007;ESCULTOR IMBERT
332;01007;ESCULTOR ISAAC DIEZ
333;01007;ESCULTOR LUCARINI
334;01007;ETXEZARRA
335;01007;FELICIAS OLAVE
336;01007;FRAY FRANCISCO DE VITORIA,Paseo
337;01007;GERTRUDIS GOMEZ DE AVELANEDA
338;01007;GURUTZELARRE
339;01007;JACINTO QUINCOCES
340;01007;JOSE MARIA CAGIGAL
341;01007;JOSE MARIA DIAZ DE ESPADA
342;01007;LARRINZA, DE,Camino
343;01007;LASARTE,Carretera
344;01007;LASARTE, DE,Portal
345;01007;LUIS MARIA URIARTE
346;01007;MAITE ZUÑIGA
347;01007;MALIZHAEZA
348;01007;MARTIN FIZ
349;01007;MENDIZABALA
350;01007;MINERAL,Camino
351;01007;NAVARRA   (Pares del 2 al final)
352;01007;NIEVES CANO   (Impares del 57 al final)  (Pares del 20 al final)
353;01007;OBISPO BIVERE
354;01007;PINTOR TEODORO DUBLANG   (Pares del 2 al final)
355;01007;PORTAL DE CASTILLA   (Impares del 1 al final)  (Pares del 32 al final)
356;01007;PRADO,Alto (Impares del 1 al final)  (Pares del 2 al final)
357;01007;RAMON Y CAJAL
358;01007;ROSALIA DE CASTRO
359;01007;SALVATIERRAVIDE
360;01007;SAN PRUDENCIO,Avenida (Impares del 1 al final)  (Pares del 2 al final)
361;01007;SAN SATURIO
362;01007;SARBURUA
363;01007;SENDA, DE LA,Paseo
364;01007;TANIS AGUIRREBENGOA
365;01007;TARAZONA
366;01007;TEODORO GONZALEZ DE ZARATE
367;01007;TOMAS TORIBIO
368;01007;ULETA,Alto
369;01007;URALMENDI
370;01008;ADRIANO VI
371;01008;ARANTZABAL
372;01008;ARRIAGA, DE,Portal (Pares del 2 al 30)
373;01008;AVENDAÑO
374;01008;BASTITURRI
375;01008;BEATO TOMAS DE ZUMARRAGA   (Impares del 1 al final)  (Pares del 2 al 30)
376;01008;BIZENTA MOGEL
377;01008;BUSTINZURI
378;01008;CADENA Y ELETA
379;01008;CONDE PEÑAFLORIDA,Plaza
380;01008;GASTEIZ,Avenida (Impares del 1 al 69)  (Pares del 2 al 50)
381;01008;GERARDO ARMESTO,Plaza
382;01008;GORBEA   (Impares del 1 al 7)  (Pares del 2 al 14)
383;01008;JOSE L. GONZALO BILBAO,Senda
384;01008;JOSE LANDAZURI
385;01008;JOSE LANDAZURI,Pasaje
386;01008;JUAN DE AYALA,Plaza
387;01008;KOLDO MITXELENA
388;01008;LASCARAY
389;01008;LOVAINA,Plaza
390;01008;LUIS HEINTZ
391;01008;MADRE VEDRUNA
392;01008;MAGDALENA
393;01008;MICAELA PORTILLA
394;01008;PARQUE FLORIDA
395;01008;PEDRO ASUA
396;01008;PINTOR ADRIANO ALDECOA
397;01008;PINTOR ANGEL SAEZ DE UGARTE
398;01008;PINTOR AURELIO VERAFAJARDO
399;01008;PINTOR CARLOS SAEZ DE TEJADA
400;01008;PINTOR CLEMENTE ARRAIZ
401;01008;PINTOR GUSTAVO DE MAESTU
402;01008;PINTOR IGNACIO DIAZ DE OLANO
403;01008;PINTOR JESUS APELLANIZ
404;01008;PINTOR JOSE LUIS GONZALO BILBAO
405;01008;PINTOR JUAN ANGEL SAEZ
406;01008;PINTOR MAURO ORTIZ DE URBINA
407;01008;PINTOR MIGUEL JIMENO LAHIDALGA
408;01008;PINTOR OBDULIO LOPEZ DE URALDE
409;01008;PINTOR PABLO URANGA
410;01008;PINTOR RICARDO SACRISTAN
411;01008;PINTOR SALVADOR AZPIAZU
412;01008;PINTOR TEODORO DUBLANG   (Impares del 1 al final)
413;01008;PINTOR TOMAS ALFARO
414;01008;PINTOR VICENTE ABREU
415;01008;PORTAL DE CASTILLA   (Pares del 2 al 30)
416;01008;RAMIRO DE MAESTU
417;01008;RAMIRO DE MAESTU,Pasaje
418;01008;RICARDO BUESA
419;01008;SAMANIEGO
420;01008;SANCHO EL SABIO
421;01008;SANTA TERESA,Camino
422;01008;SERAFIN AJURIA
423;01008;VENANCIO DEL VAL, DE,Plaza
424;01008;VICENTE GOICOECHEA
425;01009;ARGENTINA
